AP1,AP2,AP3,AP4,eduroam,Location
-67,-69,-83,-84,-63,KO-01
-71,-69,-83,-84,-63,KO-01
-75,-69,-81,-84,-63,KO-01
-73,-69,-79,-84,-63,KO-01
-73,-75,-78,-84,-63,KO-01
-87,-75,-78,-84,-61,KO-01
-82,-75,-78,-84,-68,KO-01
-73,-75,-80,-84,-62,KO-01
-82,-75,-82,-84,-63,KO-01
-76,-78,-82,-84,-62,KO-01
-86,-78,-82,-84,-67,KO-01
-79,-78,-81,-84,-64,KO-01
-87,-78,-81,-84,-65,KO-01
-83,-78,-81,-84,-65,KO-01
-81,-78,-82,-84,-65,KO-01
-81,-78,-80,-84,-64,KO-01
-84,-78,-77,-84,-66,KO-01
-85,-78,-78,-84,-64,KO-01
-80,-78,-78,-84,-65,KO-01
-78,-78,-78,-84,-64,KO-01
-78,-70,-78,-84,-61,KO-01
-78,-70,-77,-84,-63,KO-01
-78,-74,-77,-84,-62,KO-01
-79,-74,-80,-84,-65,KO-01
-81,-74,-79,-84,-61,KO-01
-80,-72,-80,-84,-67,KO-01
-84,-72,-76,-84,-62,KO-01
-76,-73,-81,-84,-62,KO-01
-79,-73,-78,-84,-65,KO-01
-77,-73,-77,-84,-63,KO-01
-78,-73,-77,-84,-63,KO-01
-88,-74,-76,-84,-63,KO-01
-88,-74,-76,-84,-63,KO-01
-77,-74,-78,-84,-62,KO-01
-75,-74,-77,-84,-62,KO-01
-76,-74,-77,-84,-62,KO-01
-79,-74,-78,-84,-63,KO-01
-75,-74,-78,-84,-62,KO-01
-77,-74,-76,-84,-64,KO-01
-78,-74,-78,-84,-63,KO-01
-78,-74,-78,-84,-63,KO-01
-80,-74,-77,-84,-63,KO-01
-79,-75,-78,-84,-62,KO-01
-73,-71,-76,-84,-61,KO-01
-79,-72,-76,-84,-62,KO-01
-78,-72,-76,-84,-62,KO-01
-77,-72,-77,-84,-64,KO-01
-77,-73,-78,-84,-62,KO-01
-79,-71,-77,-84,-63,KO-01
-80,-75,-77,-84,-66,KO-01
-80,-75,-77,-84,-65,KO-01
-78,-75,-79,-84,-64,KO-01
-79,-75,-79,-84,-64,KO-01
-78,-75,-79,-84,-64,KO-01
-82,-75,-79,-84,-66,KO-01
-79,-75,-79,-84,-63,KO-01
-76,-73,-76,-90,-63,KO-01
-77,-71,-76,-90,-63,KO-01
-77,-71,-77,-90,-63,KO-01
-73,-71,-77,-90,-63,KO-01
-80,-73,-78,-90,-63,KO-01
-74,-74,-78,-90,-63,KO-01
-75,-74,-78,-90,-63,KO-01
-76,-74,-78,-90,-64,KO-01
-73,-74,-77,-90,-63,KO-01
-75,-74,-78,-90,-63,KO-01
-74,-74,-77,-90,-64,KO-01
-76,-74,-77,-90,-64,KO-01
-78,-74,-77,-90,-64,KO-01
-72,-74,-77,-90,-63,KO-01
-84,-74,-76,-90,-63,KO-01
-84,-74,-74,-93,-63,KO-01
-69,-74,-85,-93,-56,KO-02
-68,-74,-85,-93,-61,KO-02
-68,-74,-85,-93,-58,KO-02
-67,-74,-85,-93,-56,KO-02
-67,-74,-85,-93,-57,KO-02
-70,-74,-90,-93,-59,KO-02
-70,-66,-90,-93,-58,KO-02
-68,-66,-90,-93,-58,KO-02
-68,-66,-87,-93,-58,KO-02
-69,-66,-86,-93,-59,KO-02
-68,-66,-86,-93,-58,KO-02
-68,-66,-86,-93,-58,KO-02
-68,-64,-90,-93,-57,KO-02
-68,-64,-87,-93,-58,KO-02
-67,-64,-93,-93,-58,KO-02
-69,-64,-85,-93,-58,KO-02
-68,-64,-90,-93,-58,KO-02
-67,-64,-87,-93,-57,KO-02
-68,-65,-87,-93,-57,KO-02
-67,-65,-87,-93,-58,KO-02
-68,-65,-87,-93,-58,KO-02
-66,-64,-87,-93,-58,KO-02
-68,-65,-87,-93,-57,KO-02
-67,-65,-90,-93,-57,KO-02
-68,-65,-86,-93,-57,KO-02
-67,-65,-86,-93,-57,KO-02
-68,-63,-87,-93,-57,KO-02
-69,-64,-86,-93,-57,KO-02
-68,-64,-88,-93,-58,KO-02
-67,-63,-88,-93,-58,KO-02
-66,-63,-90,-93,-57,KO-02
-65,-63,-89,-93,-57,KO-02
-68,-63,-89,-93,-58,KO-02
-65,-63,-87,-93,-57,KO-02
-71,-63,-87,-93,-59,KO-02
-68,-63,-87,-93,-58,KO-02
-69,-63,-90,-93,-58,KO-02
-68,-63,-88,-93,-58,KO-02
-68,-65,-88,-93,-57,KO-02
-68,-65,-90,-93,-58,KO-02
-69,-65,-93,-93,-60,KO-02
-67,-66,-89,-93,-56,KO-02
-68,-66,-89,-93,-59,KO-02
-68,-66,-88,-93,-59,KO-02
-67,-66,-86,-93,-57,KO-02
-65,-65,-88,-93,-58,KO-02
-67,-65,-89,-93,-58,KO-02
-69,-65,-89,-93,-58,KO-02
-67,-66,-80,-93,-57,KO-02
-67,-66,-80,-93,-56,KO-02
-68,-64,-88,-93,-56,KO-02
-72,-64,-87,-93,-57,KO-02
-64,-64,-89,-93,-58,KO-02
-68,-64,-86,-93,-57,KO-02
-66,-64,-87,-93,-58,KO-02
-68,-65,-87,-93,-58,KO-02
-67,-65,-89,-93,-58,KO-02
-67,-65,-89,-93,-59,KO-02
-69,-65,-90,-93,-58,KO-02
-67,-65,-90,-93,-58,KO-02
-68,-65,-90,-93,-58,KO-02
-68,-65,-90,-93,-60,KO-02
-69,-65,-90,-93,-60,KO-02
-62,-75,-81,-86,-43,KO-03
-65,-68,-78,-86,-43,KO-03
-62,-68,-82,-94,-39,KO-03
-68,-68,-82,-93,-44,KO-03
-70,-79,-86,-91,-44,KO-03
-70,-79,-86,-90,-44,KO-03
-68,-79,-86,-92,-50,KO-03
-67,-79,-86,-92,-44,KO-03
-68,-79,-85,-88,-43,KO-03
-69,-77,-85,-89,-43,KO-03
-68,-77,-85,-89,-50,KO-03
-75,-77,-85,-91,-44,KO-03
-67,-77,-85,-84,-44,KO-03
-71,-77,-85,-84,-43,KO-03
-69,-72,-81,-92,-46,KO-03
-72,-77,-82,-92,-45,KO-03
-68,-77,-82,-92,-50,KO-03
-66,-77,-82,-86,-48,KO-03
-69,-77,-82,-86,-42,KO-03
-71,-71,-77,-86,-63,KO-03
-67,-75,-83,-87,-52,KO-03
-67,-75,-81,-87,-55,KO-03
-64,-75,-80,-91,-56,KO-03
-69,-73,-81,-85,-44,KO-03
-64,-73,-81,-86,-49,KO-03
-66,-73,-81,-86,-49,KO-03
-69,-73,-81,-85,-41,KO-03
-66,-73,-83,-87,-45,KO-03
-63,-73,-78,-84,-49,KO-03
-70,-73,-85,-88,-42,KO-03
-67,-73,-85,-82,-44,KO-03
-68,-73,-85,-86,-43,KO-03
-73,-78,-83,-79,-42,KO-03
-69,-78,-83,-86,-43,KO-03
-70,-74,-83,-85,-43,KO-03
-71,-74,-84,-83,-45,KO-03
-72,-74,-84,-81,-46,KO-03
-74,-72,-84,-86,-43,KO-03
-70,-72,-84,-83,-41,KO-03
-70,-72,-84,-85,-51,KO-03
-71,-74,-84,-84,-43,KO-03
-65,-74,-83,-79,-50,KO-03
-66,-74,-83,-82,-43,KO-03
-71,-74,-83,-87,-51,KO-03
-70,-76,-83,-86,-44,KO-03
-73,-75,-83,-87,-44,KO-03
-83,-75,-84,-80,-42,KO-03
-70,-79,-84,-85,-43,KO-03
-70,-79,-91,-82,-43,KO-03
-68,-79,-84,-84,-43,KO-03
-69,-73,-86,-83,-43,KO-03
-64,-72,-86,-87,-41,KO-03
-68,-72,-86,-84,-43,KO-03
-68,-71,-92,-85,-40,KO-03
-69,-73,-92,-83,-42,KO-03
-68,-73,-92,-85,-42,KO-03
-70,-73,-85,-84,-42,KO-03
-66,-73,-84,-83,-41,KO-03
-66,-73,-85,-83,-41,KO-03
-65,-73,-85,-83,-41,KO-03
